"symbol","nimi","sektor","hind","tootlus","kogus","kasum_aktsia_kohta","dividend_aktsia_kohta"
"LEN","Lennar","Consumer Discretionary",90.3,-4.776968,2596229,14.267,1
"LH","LabCorp","Health Care",277.48,-0.19781598,482166,28.187,0
"LHX","L3Harris Technologies","Industrials",213.24,-0.15451694,983321,9.085,4.08
"LIN","Linde","Materials",297.98,-4.432321,3221496,6.796,4.143
"LKQ","LKQ Corporation","Consumer Discretionary",55.02,-1.1853446,1305522,3.436,0
"LLY","Eli Lilly","Health Care",242.27,-1.0375366,2761162,6.12,3.4
"LMT","Lockheed Martin","Industrials",389.33,-0.094951406,1620257,22.76,10.6
"LNC","Lincoln National","Financials",71.55,6.378235,2676697,7.43,1.71
"LNT","Alliant Energy","Utilities",59.13,-1.2195114,693934,2.534,1.587
"LOW","Lowe's","Consumer Discretionary",229.07,-2.1528313,3371143,11.467,2.8
"LRCX","Lam Research","Information Technology",579.07,-1.6458323,1446421,32.084,5.6
"LUMN","Lumen Technologies","Communication Services",12.51,-0.7930169,9474252,-0.709,1
"LUV","Southwest Airlines","Industrials",43.66,0.5064485,4907418,1.61,0
"LVS","Las Vegas Sands","Consumer Discretionary",44.2,0.6604439,5432138,-1.258,0
"LW","Lamb Weston","Consumer Staples",62.75,-1.9071457,655677,1.311,0.94
"LYB","LyondellBasell","Materials",100.22,0.20997809,2733818,16.75,4.44
"LYV","Live Nation Entertainment","Communication Services",108.36,2.3809564,1280432,-4.165,0
"MA","Mastercard","Information Technology",382.2,-2.0175853,5459094,8.76,1.81
"MAA","Mid-America Apartments","Real Estate",212.53,-0.23002791,542306,4.61,4.1
"MAR","Marriott International","Consumer Discretionary",162.74,0.45059627,2126728,1.428,0
"MAS","Masco","Industrials",61.46,-1.8681175,2151675,1.822,0.845
"MCD","McDonald's","Consumer Discretionary",260.06,-0.22253571,1937099,10.036,5.25
"MCHP","Microchip Technology","Information Technology",73.18,-1.3347687,7263664,1.704,0.852
"MCK","McKesson Corporation","Health Care",265.56,-0.695541,1189369,8.96,1.78
"MCO","Moody's","Financials",346.88,1.9156245,1053877,11.162,2.42
"MDLZ","Mondelez International","Consumer Staples",67.02,-1.3541446,6791864,3.04,1.33
"MDT","Medtronic","Health Care",102.73,0.5481112,4380287,3.468,2.42
"MET","MetLife","Financials",68.99,1.8603196,3679005,7.307,1.9
"MGM","MGM Resorts International","Consumer Discretionary",44.54,3.6295984,4568045,1.247,0.01
"MHK","Mohawk Industries","Consumer Discretionary",150.08,-1.6964672,719396,49.89534,0
"MKC","McCormick & Company","Consumer Staples",101.73,-1.1370244,1462507,2.8,1.36
"MKTX","MarketAxess","Financials",366.71,4.798233,441073,6.77,2.64
"MLM","Martin Marietta Materials","Materials",372.05,-0.22794479,397177,11.65,2.32
"MMC","Marsh & McLennan","Financials",153.25,0.802474,1837504,6.13,2.07
"MMM","3M","Industrials",160.73,-2.2264152,3987653,10.12,5.92
"MNST","Monster Beverage","Consumer Staples",84.29,-2.079462,2421331,2.86,0
"MO","Altria","Consumer Staples",50.19,-0.45616728,6402797,1.34,0
"MOS","The Mosaic Company","Materials",43.83,2.0726671,6772041,4.672,0.25
"MPC","Marathon Petroleum","Energy",78.19,1.5850346,6098715,15.261,2.32
"MPWR","Monolithic Power Systems","Information Technology",400.12,1.7702695,289660,4.46,2.3
"MRK","Merck","Health Care",78.56,-0.569554,10709113,2.834,2.56
"MRNA","Moderna","Health Care",163.01,-0.57334703,4375660,16.692,0
"MRO","Marathon Oil","Energy",21.5,3.166986,23832237,-0.052,0.18
"MS","Morgan Stanley","Financials",104.11,1.7792547,7634104,8.03,2.45
"MSCI","MSCI","Financials",554.71,2.665141,662451,8.7,3.64
"MSFT","Microsoft","Information Technology",305.94,1.5568472,34892319,9.389,2.36
"MSI","Motorola Solutions","Information Technology",235.57,-0.016974358,701878,7.245,2.84
"MTB","M&T Bank","Financials",179.56,2.5002885,1224300,13.8,4.5
"MTCH","Match Group","Communication Services",115.98,3.5720665,2834970,0.929,0
"MTD","Mettler Toledo","Health Care",1491.9,-0.24205595,64461,31.903,0
"MU","Micron Technology","Information Technology",81.17,-0.97597057,15657509,6.461,0.2
"NCLH","Norwegian Cruise Line Holdings","Consumer Discretionary",20.25,-1.1713,16721672,-10.773,0
"NDAQ","Nasdaq","Financials",178.62,0.33140275,790547,7.05,2.11
"NEE","NextEra Energy","Utilities",76.01,0.31675532,12131888,1.81,1.54
"NEM","Newmont","Materials",60.93,-1.4077653,5198307,2.537,2.2
"NFLX","Netflix","Communication Services",410.17,1.1267277,7789798,11.24,0
"NI","NiSource","Utilities",29.35,-1.3113631,5861615,1.095,0.88
"NKE","Nike","Consumer Discretionary",145.39,0.055055972,4195168,3.81,1.13
"NLOK","NortonLifeLock","Information Technology",27.59,8.707647,17069710,1.538,0.125
"NLSN","Nielsen Holdings","Industrials",18.39,-0.862533,4311127,2.183,0.24
"NOC","Northrop Grumman","Industrials",369.75,-1.0861126,481864,43.54,6.16
"NOW","ServiceNow","Information Technology",577.52,2.9722822,1148388,1.13,0
"NRG","NRG Energy","Utilities",39.36,-0.12686941,1904668,9.976,1.3
"NSC","Norfolk Southern","Industrials",270.42,-1.9577963,1089992,12.11,4.16
"NTAP","NetApp","Information Technology",87.63,-0.37517262,838763,4.113,1.96
"NTRS","Northern Trust","Financials",121.58,1.6555213,851977,7.14,2.8
"NUE","Nucor","Materials",111.26,-0.881958,3224040,23.16,1.715
"NVDA","Nvidia","Information Technology",243.19,1.5491927,35205523,3.243,0.16
"NVR","NVR","Consumer Discretionary",5275.03,-2.8786442,31190,320.48,0
"NWL","Newell Brands","Consumer Discretionary",21.33,-8.533446,11503142,1.41,0.92
"NWS","News Corp (Class B)","Communication Services",22.73,0.8429398,1006036,0.831,0.2
"NWSA","News Corp (Class A)","Communication Services",22.5,0.22271374,4577204,0.831,0.2
"NXPI","NXP","Information Technology",198.12,-0.11092126,3205417,6.79,2.25
"O","Realty Income Corporation","Real Estate",68.19,-0.698989,2927603,1.268,2.819
"ODFL","Old Dominion Freight Line","Industrials",309.58,-5.5150337,920945,8.89,0.8
"OGN","Organon & Co.","Health Care",33.12,0.6075358,1475561,5.975,0.28
